date,open,high,low,close,volume
2020-05-01 17:15:00,105.41,105.44,105.37,105.44,1287
2020-05-01 17:30:00,105.44,105.5,105.44,105.5,2035
2020-05-01 17:45:00,105.5,105.5,105.4,105.48,1480
2020-05-01 18:00:00,105.5,105.5499,105.39,105.5499,4049
2020-05-01 18:15:00,105.5499,105.55,105.4,105.4,1421
2020-05-01 18:30:00,105.55,105.55,105.41,105.41,650
2020-05-01 18:45:00,105.5,105.5,105.36,105.42,2476
2020-05-01 19:00:00,105.49,105.55,105.47,105.55,1574
2020-05-01 19:15:00,105.42,105.5,105.42,105.5,402
2020-05-01 19:30:00,105.5001,105.5001,105.5001,105.5001,126
2020-05-01 19:45:00,105.55,105.65,105.5,105.65,1410
2020-05-01 20:00:00,105.42,105.65,105.42,105.6,1102
2020-05-04 04:15:00,104.6,104.71,104.6,104.6,756
2020-05-04 04:30:00,104.22,104.69,104.06,104.69,1370
2020-05-04 04:45:00,104.25,104.25,103.9,103.9,325
2020-05-04 05:00:00,103.9,103.98,103.5,103.98,1498
2020-05-04 05:30:00,103.77,103.77,103.59,103.59,305
2020-05-04 05:45:00,104.18,104.23,104.18,104.23,844
2020-05-04 06:00:00,104.16,104.44,103.5,104.01,1570
2020-05-04 06:15:00,103.92,103.92,103.2,103.46,2847
2020-05-04 06:30:00,103.22,103.3,103.2,103.27,835
2020-05-04 06:45:00,103.54,103.6,103.45,103.6,703
2020-05-04 07:15:00,103.7,103.7,102.7,103.0,12907
2020-05-04 07:30:00,102.95,103.12,102.88,103.01,4819
2020-05-04 07:45:00,103.02,103.15,103.0,103.15,6300
2020-05-04 08:00:00,103.1,103.21,102.95,102.97,3062
2020-05-04 08:15:00,102.9,103.5,102.5,102.5,17082
2020-05-04 08:30:00,102.56,102.85,102.475,102.475,11953
2020-05-04 08:45:00,102.3,102.3,101.69,101.95,23524
2020-05-04 09:00:00,101.86,101.9642,101.6,101.85,16131
2020-05-04 09:15:00,101.85,102.6,101.6,102.6,38433
2020-05-04 09:30:00,102.78,102.78,101.8,102.1,55581
2020-05-04 09:45:00,102.01,102.19,100.55,101.445,3467452
2020-05-04 10:00:00,101.435,102.01,100.95,101.11,1279266
2020-05-04 10:15:00,101.11,102.85,101.09,102.775,1161629
2020-05-04 10:30:00,102.78,103.16,101.74,101.74,927888
2020-05-04 10:45:00,101.735,102.1,101.37,101.83,711380
2020-05-04 11:00:00,101.8251,102.14,101.6114,101.67,470301
2020-05-04 11:15:00,101.69,101.7475,101.2204,101.3632,466419
2020-05-04 11:30:00,101.37,102.0479,101.34,101.66,480526
2020-05-04 11:45:00,101.65,102.0,101.42,101.94,509736
2020-05-04 12:00:00,101.95,102.23,101.605,101.67,498646
2020-05-04 12:15:00,101.6601,102.08,101.63,101.86,399998
2020-05-04 12:30:00,101.85,102.36,101.7901,102.19,681985
2020-05-04 12:45:00,102.19,102.3,101.7,102.005,641462
2020-05-04 13:00:00,102.0,102.14,101.77,102.0,474744
2020-05-04 13:15:00,102.0,102.07,101.67,101.758,407979
2020-05-04 13:30:00,101.7428,102.0,101.48,101.4901,418899
2020-05-04 13:45:00,101.51,102.0,101.49,101.63,321189
2020-05-04 14:00:00,101.66,101.86,101.62,101.74,259955
2020-05-04 14:15:00,101.73,101.965,101.56,101.875,378139
2020-05-04 14:30:00,101.88,102.26,101.865,102.15,502046
2020-05-04 14:45:00,102.16,102.262,101.9415,102.2,355062
2020-05-04 15:00:00,102.19,102.92,102.1601,102.91,462526
2020-05-04 15:15:00,102.91,103.23,102.7,103.0801,499027
2020-05-04 15:30:00,103.06,103.5,103.06,103.48,451735
2020-05-04 15:45:00,103.47,103.83,103.3518,103.46,625939
2020-05-04 16:00:00,103.43,103.47,103.02,103.26,1121046
2020-05-04 16:15:00,103.18,103.18,103.0,103.07,327928
2020-05-04 16:30:00,103.04,103.18,102.84,102.95,6986
2020-05-04 16:45:00,102.9,103.04,102.86,103.04,552
2020-05-04 17:00:00,103.07,103.08,103.0,103.0,1971
2020-05-04 17:15:00,103.03,103.03,102.85,102.99,3773
2020-05-04 17:30:00,102.98,103.0,102.98,103.0,5250
2020-05-04 17:45:00,102.88,102.9,102.15,102.25,27109
2020-05-04 18:00:00,102.23,102.23,101.76,102.04,11677
2020-05-04 18:15:00,102.05,102.15,101.82,101.95,7947
2020-05-04 18:30:00,101.95,102.22,101.76,102.22,6733
2020-05-04 18:45:00,102.15,102.4,102.12,102.4,2565
2020-05-04 19:00:00,102.4,102.4,102.15,102.15,734
2020-05-04 19:15:00,102.3,102.3,102.0,102.12,2792
2020-05-04 19:30:00,102.13,102.2,102.0,102.2,1568
2020-05-04 19:45:00,102.13,102.18,102.1,102.18,5511
2020-05-04 20:00:00,102.06,102.17,102.05,102.08,5825
2020-05-05 04:15:00,104.5,104.5,103.6,104.0,3236
2020-05-05 04:30:00,103.82,103.94,103.82,103.94,1139
2020-05-05 04:45:00,103.9,103.91,103.83,103.83,490
2020-05-05 05:00:00,103.75,103.75,103.2,103.2,3122
2020-05-05 05:30:00,103.5,103.5,103.41,103.41,1776
2020-05-05 05:45:00,103.4,104.0,103.4,103.86,1701
2020-05-05 06:00:00,103.78,103.86,103.55,103.6,1580
2020-05-05 06:15:00,103.68,103.95,103.59,103.59,1779
2020-05-05 06:30:00,103.85,103.85,103.85,103.85,200
2020-05-05 07:00:00,103.77,103.86,103.77,103.86,2002
2020-05-05 07:15:00,103.5,103.5,102.76,103.0,15056
2020-05-05 07:30:00,103.0,103.2,102.76,103.09,3486
2020-05-05 07:45:00,103.17,103.17,103.0,103.0,3076
2020-05-05 08:00:00,103.0,103.19,103.0,103.19,3682
2020-05-05 08:15:00,102.95,103.59,102.75,103.03,72538
2020-05-05 08:30:00,103.2,103.2,102.6,102.6,24385
2020-05-05 08:45:00,102.55,102.9,102.5,102.9,19354
2020-05-05 09:00:00,102.85,102.89,102.2,102.35,14175
2020-05-05 09:15:00,102.35,102.4,101.76,101.9,50481
2020-05-05 09:30:00,101.9498,102.15,101.25,101.25,47895
2020-05-05 09:45:00,101.51,104.06,101.09,103.86,2547540
2020-05-05 10:00:00,103.89,105.16,103.8,105.15,1588782
2020-05-05 10:15:00,105.11,105.18,104.55,104.6979,1001621
2020-05-05 10:30:00,104.7,105.096,104.26,104.355,898970
2020-05-05 10:45:00,104.36,104.83,104.08,104.135,672458
2020-05-05 11:00:00,104.125,104.13,103.32,103.84,956515
2020-05-05 11:15:00,103.86,104.2031,103.78,103.92,835370
2020-05-05 11:30:00,103.92,104.06,103.63,104.05,765982
2020-05-05 11:45:00,104.06,104.26,103.88,103.9868,521792
2020-05-05 12:00:00,103.98,103.99,103.36,103.53,552022
2020-05-05 12:15:00,103.53,103.67,103.3,103.49,669455
2020-05-05 12:30:00,103.48,103.6421,102.62,102.66,1132756
2020-05-05 12:45:00,102.665,103.16,102.665,103.0,820132
2020-05-05 13:00:00,103.01,103.18,102.38,102.45,707493
2020-05-05 13:15:00,102.46,102.565,101.71,101.95,1096228
2020-05-05 13:30:00,101.95,102.47,101.9,102.07,722637
2020-05-05 13:45:00,102.08,102.26,101.8725,101.91,549085
2020-05-05 14:00:00,101.9,102.04,101.75,101.975,537831
2020-05-05 14:15:00,101.98,102.01,101.73,101.83,582111
2020-05-05 14:30:00,101.82,101.99,101.5,101.81,835668
2020-05-05 14:45:00,101.805,101.99,101.41,101.4534,722321
2020-05-05 15:00:00,101.455,101.72,101.3303,101.61,882549
2020-05-05 15:15:00,101.61,101.8,101.36,101.7157,774890
2020-05-05 15:30:00,101.711,101.93,101.37,101.65,919790
2020-05-05 15:45:00,101.64,101.68,100.9,101.175,1350317
